District,Province,Total Population,Male,Female
Rwamiko,Southern Province,14821,7163,7658
Rwaniro,Eastern Province,23239,11058,12181
Rwankuba,Northern Province,38286,18157,20129
Rwaza,Southern Province,23120,10998,12122
Rwempasha,Western Province,38592,19234,19358
Rwerere,Southern Province,21611,10236,11375
Rweru,Western Province,37976,18408,19568
Rwezamenyo,City of Kigali,14754,7556,7198
Rwimbogo,Northern Province,23254,11135,12119
Rwimbogo,Western Province,49975,24189,25786
Rwimiyaga,Western Province,82620,40685,41935
Rwinkwavu,Western Province,36774,17822,18952
Sake,Western Province,28822,13762,15060
Save,Eastern Province,30941,14692,16249
Shangasha,Southern Province,18696,8960,9736
Shangi,Northern Province,28064,13114,14950
Shingiro,Southern Province,24726,11603,13123
Shyara,Western Province,15856,7639,8217
Shyira,Northern Province,21786,10239,11547
Shyogwe,Eastern Province,50966,27407,23559
Shyorongi,Southern Province,43744,21182,22562
Simbi,Eastern Province,23284,11053,12231
Southern province,Eastern Province,3002699,1448455,1554244
Sovu,Northern Province,31966,14715,17251
Tabagwe,Western Province,53528,25832,27696
Tare,Eastern Province,24561,11694,12867
Tumba,Eastern Province,37153,17787,19366
Tumba,Southern Province,20693,9710,10983
Twumba,Northern Province,28208,13468,14740
Uwinkingi,Eastern Province,25874,12093,13781
Western Province,Northern Province,2896484,1384635,1511849
Zaza,Western Province,27836,13300,14536
